# FRONT piece boundary — closed 3D loop on the shell surface; coordinates mm, x lateral (+ wearer's left), y front-to-back (+ front), z height above waist
# piece split at the SOLVED armhole theta = +-102.9660 deg
segment,theta_deg,x_mm,y_mm,z_mm
armhole seam +split (down),102.9660,281.017,-54.117,-370.227
armhole seam +split (down),102.9660,281.049,-54.123,-370.695
armhole seam +split (down),102.9660,281.079,-54.129,-371.164
armhole seam +split (down),102.9660,281.108,-54.135,-371.632
armhole seam +split (down),102.9660,281.137,-54.140,-372.101
armhole seam +split (down),102.9660,281.165,-54.145,-372.569
armhole seam +split (down),102.9660,281.192,-54.151,-373.037
armhole seam +split (down),102.9660,281.217,-54.156,-373.506
armhole seam +split (down),102.9660,281.242,-54.160,-373.974
armhole seam +split (down),102.9660,281.266,-54.165,-374.443
armhole seam +split (down),102.9660,281.289,-54.169,-374.911
armhole seam +split (down),102.9660,281.311,-54.174,-375.379
armhole seam +split (down),102.9660,281.332,-54.178,-375.848
armhole seam +split (down),102.9660,281.352,-54.181,-376.316
armhole seam +split (down),102.9660,281.370,-54.185,-376.784
armhole seam +split (down),102.9660,281.388,-54.188,-377.253
armhole seam +split (down),102.9660,281.404,-54.191,-377.721
armhole seam +split (down),102.9660,281.419,-54.194,-378.190
armhole seam +split (down),102.9660,281.432,-54.197,-378.658
armhole seam +split (down),102.9660,281.444,-54.199,-379.126
armhole seam +split (down),102.9660,281.454,-54.201,-379.595
armhole seam +split (down),102.9660,281.462,-54.203,-380.063
armhole seam +split (down),102.9660,281.468,-54.204,-380.532
armhole seam +split (down),102.9660,281.471,-54.204,-381.000
hem edge,102.9660,281.471,-54.204,-381.000
hem edge,102.8801,281.618,-53.865,-381.000
hem edge,102.7943,281.763,-53.526,-381.000
hem edge,102.7084,281.908,-53.186,-381.000
hem edge,102.6226,282.052,-52.846,-381.000
hem edge,102.5368,282.195,-52.505,-381.000
hem edge,102.4509,282.338,-52.164,-381.000
hem edge,102.3651,282.479,-51.823,-381.000
hem edge,102.2792,282.619,-51.481,-381.000
hem edge,102.1934,282.759,-51.139,-381.000
hem edge,102.1076,282.898,-50.797,-381.000
hem edge,102.0217,283.036,-50.454,-381.000
hem edge,101.9359,283.173,-50.111,-381.000
hem edge,101.8500,283.309,-49.767,-381.000
hem edge,101.7642,283.445,-49.424,-381.000
hem edge,101.6784,283.579,-49.080,-381.000
hem edge,101.5925,283.713,-48.735,-381.000
hem edge,101.5067,283.846,-48.390,-381.000
hem edge,101.4208,283.977,-48.045,-381.000
hem edge,101.3350,284.108,-47.700,-381.000
hem edge,101.2491,284.238,-47.354,-381.000
hem edge,101.1633,284.368,-47.008,-381.000
hem edge,101.0775,284.496,-46.662,-381.000
hem edge,100.9916,284.624,-46.315,-381.000
hem edge,100.9058,284.750,-45.968,-381.000
hem edge,100.8199,284.876,-45.620,-381.000
hem edge,100.7341,285.001,-45.273,-381.000
hem edge,100.6483,285.125,-44.924,-381.000
hem edge,100.5624,285.248,-44.576,-381.000
hem edge,100.4766,285.370,-44.228,-381.000
hem edge,100.3907,285.491,-43.878,-381.000
hem edge,100.3049,285.611,-43.529,-381.000
hem edge,100.2191,285.731,-43.180,-381.000
hem edge,100.1332,285.849,-42.830,-381.000
hem edge,100.0474,285.967,-42.479,-381.000
hem edge,99.9615,286.083,-42.129,-381.000
hem edge,99.8757,286.199,-41.778,-381.000
hem edge,99.7899,286.314,-41.427,-381.000
hem edge,99.7040,286.428,-41.075,-381.000
hem edge,99.6182,286.541,-40.724,-381.000
hem edge,99.5323,286.653,-40.372,-381.000
hem edge,99.4465,286.764,-40.019,-381.000
hem edge,99.3607,286.874,-39.667,-381.000
hem edge,99.2748,286.983,-39.314,-381.000
hem edge,99.1890,287.092,-38.960,-381.000
hem edge,99.1031,287.199,-38.607,-381.000
hem edge,99.0173,287.306,-38.253,-381.000
hem edge,98.9314,287.411,-37.899,-381.000
hem edge,98.8456,287.516,-37.545,-381.000
hem edge,98.7598,287.620,-37.190,-381.000
hem edge,98.6739,287.722,-36.836,-381.000
hem edge,98.5881,287.824,-36.480,-381.000
hem edge,98.5022,287.925,-36.125,-381.000
hem edge,98.4164,288.025,-35.769,-381.000
hem edge,98.3306,288.124,-35.413,-381.000
hem edge,98.2447,288.222,-35.057,-381.000
hem edge,98.1589,288.319,-34.701,-381.000
hem edge,98.0730,288.415,-34.344,-381.000
hem edge,97.9872,288.510,-33.987,-381.000
hem edge,97.9014,288.604,-33.630,-381.000
hem edge,97.8155,288.697,-33.272,-381.000
hem edge,97.7297,288.790,-32.914,-381.000
hem edge,97.6438,288.881,-32.556,-381.000
hem edge,97.5580,288.971,-32.198,-381.000
hem edge,97.4722,289.061,-31.840,-381.000
hem edge,97.3863,289.149,-31.481,-381.000
hem edge,97.3005,289.236,-31.122,-381.000
hem edge,97.2146,289.323,-30.763,-381.000
hem edge,97.1288,289.408,-30.404,-381.000
hem edge,97.0430,289.493,-30.044,-381.000
hem edge,96.9571,289.576,-29.684,-381.000
hem edge,96.8713,289.659,-29.324,-381.000
hem edge,96.7854,289.741,-28.963,-381.000
hem edge,96.6996,289.821,-28.603,-381.000
hem edge,96.6137,289.901,-28.242,-381.000
hem edge,96.5279,289.979,-27.881,-381.000
hem edge,96.4421,290.057,-27.520,-381.000
hem edge,96.3562,290.134,-27.159,-381.000
hem edge,96.2704,290.209,-26.797,-381.000
hem edge,96.1845,290.284,-26.435,-381.000
hem edge,96.0987,290.358,-26.073,-381.000
hem edge,96.0129,290.430,-25.711,-381.000
hem edge,95.9270,290.502,-25.348,-381.000
hem edge,95.8412,290.573,-24.986,-381.000
hem edge,95.7553,290.642,-24.623,-381.000
hem edge,95.6695,290.711,-24.260,-381.000
hem edge,95.5837,290.779,-23.897,-381.000
hem edge,95.4978,290.845,-23.533,-381.000
hem edge,95.4120,290.911,-23.170,-381.000
hem edge,95.3261,290.976,-22.806,-381.000
hem edge,95.2403,291.039,-22.442,-381.000
hem edge,95.1545,291.102,-22.078,-381.000
hem edge,95.0686,291.164,-21.714,-381.000
hem edge,94.9828,291.224,-21.349,-381.000
hem edge,94.8969,291.284,-20.985,-381.000
hem edge,94.8111,291.342,-20.620,-381.000
hem edge,94.7253,291.400,-20.255,-381.000
hem edge,94.6394,291.457,-19.890,-381.000
hem edge,94.5536,291.512,-19.525,-381.000
hem edge,94.4677,291.567,-19.159,-381.000
hem edge,94.3819,291.620,-18.794,-381.000
hem edge,94.2960,291.673,-18.428,-381.000
hem edge,94.2102,291.724,-18.062,-381.000
hem edge,94.1244,291.775,-17.696,-381.000
hem edge,94.0385,291.824,-17.330,-381.000
hem edge,93.9527,291.873,-16.964,-381.000
hem edge,93.8668,291.920,-16.597,-381.000
hem edge,93.7810,291.966,-16.231,-381.000
hem edge,93.6952,292.012,-15.864,-381.000
hem edge,93.6093,292.056,-15.497,-381.000
hem edge,93.5235,292.099,-15.130,-381.000
hem edge,93.4376,292.142,-14.763,-381.000
hem edge,93.3518,292.183,-14.396,-381.000
hem edge,93.2660,292.223,-14.029,-381.000
hem edge,93.1801,292.262,-13.662,-381.000
hem edge,93.0943,292.300,-13.294,-381.000
hem edge,93.0084,292.337,-12.927,-381.000
hem edge,92.9226,292.373,-12.559,-381.000
hem edge,92.8368,292.408,-12.191,-381.000
hem edge,92.7509,292.442,-11.823,-381.000
hem edge,92.6651,292.475,-11.455,-381.000
hem edge,92.5792,292.507,-11.087,-381.000
hem edge,92.4934,292.538,-10.719,-381.000
hem edge,92.4076,292.568,-10.351,-381.000
hem edge,92.3217,292.597,-9.983,-381.000
hem edge,92.2359,292.625,-9.614,-381.000
hem edge,92.1500,292.651,-9.246,-381.000
hem edge,92.0642,292.677,-8.877,-381.000
hem edge,91.9783,292.702,-8.508,-381.000
hem edge,91.8925,292.725,-8.140,-381.000
hem edge,91.8067,292.748,-7.771,-381.000
hem edge,91.7208,292.769,-7.402,-381.000
hem edge,91.6350,292.790,-7.033,-381.000
hem edge,91.5491,292.809,-6.664,-381.000
hem edge,91.4633,292.827,-6.295,-381.000
hem edge,91.3775,292.845,-5.926,-381.000
hem edge,91.2916,292.861,-5.557,-381.000
hem edge,91.2058,292.876,-5.188,-381.000
hem edge,91.1199,292.890,-4.819,-381.000
hem edge,91.0341,292.904,-4.450,-381.000
hem edge,90.9483,292.916,-4.081,-381.000
hem edge,90.8624,292.927,-3.711,-381.000
hem edge,90.7766,292.937,-3.342,-381.000
hem edge,90.6907,292.946,-2.973,-381.000
hem edge,90.6049,292.954,-2.603,-381.000
hem edge,90.5191,292.961,-2.234,-381.000
hem edge,90.4332,292.966,-1.864,-381.000
hem edge,90.3474,292.971,-1.495,-381.000
hem edge,90.2615,292.975,-1.126,-381.000
hem edge,90.1757,292.977,-0.756,-381.000
hem edge,90.0899,292.979,-0.387,-381.000
hem edge,90.0040,292.980,-0.017,-381.000
hem edge,89.9182,292.979,0.352,-381.000
hem edge,89.8323,292.978,0.722,-381.000
hem edge,89.7465,292.975,1.091,-381.000
hem edge,89.6606,292.971,1.461,-381.000
hem edge,89.5748,292.967,1.830,-381.000
hem edge,89.4890,292.961,2.199,-381.000
hem edge,89.4031,292.954,2.569,-381.000
hem edge,89.3173,292.947,2.938,-381.000
hem edge,89.2314,292.938,3.307,-381.000
hem edge,89.1456,292.928,3.677,-381.000
hem edge,89.0598,292.917,4.046,-381.000
hem edge,88.9739,292.905,4.415,-381.000
hem edge,88.8881,292.892,4.785,-381.000
hem edge,88.8022,292.878,5.154,-381.000
hem edge,88.7164,292.863,5.523,-381.000
hem edge,88.6306,292.846,5.892,-381.000
hem edge,88.5447,292.829,6.261,-381.000
hem edge,88.4589,292.811,6.630,-381.000
hem edge,88.3730,292.792,6.999,-381.000
hem edge,88.2872,292.771,7.368,-381.000
hem edge,88.2014,292.750,7.737,-381.000
hem edge,88.1155,292.727,8.105,-381.000
hem edge,88.0297,292.704,8.474,-381.000
hem edge,87.9438,292.679,8.843,-381.000
hem edge,87.8580,292.654,9.211,-381.000
hem edge,87.7722,292.627,9.580,-381.000
hem edge,87.6863,292.599,9.948,-381.000
hem edge,87.6005,292.571,10.316,-381.000
hem edge,87.5146,292.541,10.685,-381.000
hem edge,87.4288,292.510,11.053,-381.000
hem edge,87.3429,292.478,11.421,-381.000
hem edge,87.2571,292.446,11.789,-381.000
hem edge,87.1713,292.412,12.157,-381.000
hem edge,87.0854,292.377,12.525,-381.000
hem edge,86.9996,292.341,12.892,-381.000
hem edge,86.9137,292.304,13.260,-381.000
hem edge,86.8279,292.266,13.627,-381.000
hem edge,86.7421,292.227,13.995,-381.000
hem edge,86.6562,292.187,14.362,-381.000
hem edge,86.5704,292.145,14.729,-381.000
hem edge,86.4845,292.103,15.096,-381.000
hem edge,86.3987,292.060,15.463,-381.000
hem edge,86.3129,292.016,15.830,-381.000
hem edge,86.2270,291.971,16.197,-381.000
hem edge,86.1412,291.924,16.563,-381.000
hem edge,86.0553,291.877,16.929,-381.000
hem edge,85.9695,291.829,17.296,-381.000
hem edge,85.8837,291.779,17.662,-381.000
hem edge,85.7978,291.729,18.028,-381.000
hem edge,85.7120,291.678,18.394,-381.000
hem edge,85.6261,291.625,18.759,-381.000
hem edge,85.5403,291.572,19.125,-381.000
hem edge,85.4545,291.517,19.491,-381.000
hem edge,85.3686,291.462,19.856,-381.000
hem edge,85.2828,291.405,20.221,-381.000
hem edge,85.1969,291.348,20.586,-381.000
hem edge,85.1111,291.289,20.951,-381.000
hem edge,85.0252,291.230,21.315,-381.000
hem edge,84.9394,291.169,21.680,-381.000
hem edge,84.8536,291.108,22.044,-381.000
hem edge,84.7677,291.045,22.408,-381.000
hem edge,84.6819,290.982,22.772,-381.000
hem edge,84.5960,290.917,23.136,-381.000
hem edge,84.5102,290.851,23.499,-381.000
hem edge,84.4244,290.785,23.863,-381.000
hem edge,84.3385,290.717,24.226,-381.000
hem edge,84.2527,290.649,24.589,-381.000
hem edge,84.1668,290.579,24.952,-381.000
hem edge,84.0810,290.509,25.314,-381.000
hem edge,83.9952,290.437,25.677,-381.000
hem edge,83.9093,290.364,26.039,-381.000
hem edge,83.8235,290.291,26.401,-381.000
hem edge,83.7376,290.216,26.763,-381.000
hem edge,83.6518,290.141,27.125,-381.000
hem edge,83.5660,290.064,27.486,-381.000
hem edge,83.4801,289.987,27.847,-381.000
hem edge,83.3943,289.908,28.208,-381.000
hem edge,83.3084,289.829,28.569,-381.000
hem edge,83.2226,289.748,28.930,-381.000
hem edge,83.1368,289.667,29.290,-381.000
hem edge,83.0509,289.584,29.650,-381.000
hem edge,82.9651,289.501,30.010,-381.000
hem edge,82.8792,289.416,30.370,-381.000
hem edge,82.7934,289.331,30.729,-381.000
hem edge,82.7075,289.245,31.088,-381.000
hem edge,82.6217,289.157,31.447,-381.000
hem edge,82.5359,289.069,31.806,-381.000
hem edge,82.4500,288.980,32.165,-381.000
hem edge,82.3642,288.889,32.523,-381.000
hem edge,82.2783,288.798,32.881,-381.000
hem edge,82.1925,288.706,33.239,-381.000
hem edge,82.1067,288.613,33.596,-381.000
hem edge,82.0208,288.519,33.953,-381.000
hem edge,81.9350,288.424,34.310,-381.000
hem edge,81.8491,288.328,34.667,-381.000
hem edge,81.7633,288.231,35.024,-381.000
hem edge,81.6775,288.133,35.380,-381.000
hem edge,81.5916,288.034,35.736,-381.000
hem edge,81.5058,287.934,36.092,-381.000
hem edge,81.4199,287.834,36.447,-381.000
hem edge,81.3341,287.732,36.802,-381.000
hem edge,81.2483,287.629,37.157,-381.000
hem edge,81.1624,287.526,37.512,-381.000
hem edge,81.0766,287.421,37.866,-381.000
hem edge,80.9907,287.316,38.220,-381.000
hem edge,80.9049,287.209,38.574,-381.000
hem edge,80.8191,287.102,38.927,-381.000
hem edge,80.7332,286.994,39.281,-381.000
hem edge,80.6474,286.884,39.634,-381.000
hem edge,80.5615,286.774,39.986,-381.000
hem edge,80.4757,286.663,40.339,-381.000
hem edge,80.3898,286.551,40.691,-381.000
hem edge,80.3040,286.438,41.043,-381.000
hem edge,80.2182,286.324,41.394,-381.000
hem edge,80.1323,286.210,41.745,-381.000
hem edge,80.0465,286.094,42.096,-381.000
hem edge,79.9606,285.977,42.447,-381.000
hem edge,79.8748,285.860,42.797,-381.000
hem edge,79.7890,285.742,43.147,-381.000
hem edge,79.7031,285.622,43.496,-381.000
hem edge,79.6173,285.502,43.846,-381.000
hem edge,79.5314,285.381,44.195,-381.000
hem edge,79.4456,285.259,44.544,-381.000
hem edge,79.3598,285.136,44.892,-381.000
hem edge,79.2739,285.012,45.240,-381.000
hem edge,79.1881,284.888,45.588,-381.000
hem edge,79.1022,284.762,45.936,-381.000
hem edge,79.0164,284.635,46.282,-381.000
hem edge,78.9306,284.508,46.629,-381.000
hem edge,78.8447,284.380,46.976,-381.000
hem edge,78.7589,284.251,47.322,-381.000
hem edge,78.6730,284.121,47.668,-381.000
hem edge,78.5872,283.990,48.013,-381.000
hem edge,78.5014,283.858,48.358,-381.000
hem edge,78.4155,283.725,48.703,-381.000
hem edge,78.3297,283.592,49.048,-381.000
hem edge,78.2438,283.457,49.392,-381.000
hem edge,78.1580,283.322,49.735,-381.000
hem edge,78.0721,283.186,50.079,-381.000
hem edge,77.9863,283.049,50.422,-381.000
hem edge,77.9005,282.911,50.765,-381.000
hem edge,77.8146,282.772,51.107,-381.000
hem edge,77.7288,282.633,51.449,-381.000
hem edge,77.6429,282.492,51.791,-381.000
hem edge,77.5571,282.351,52.132,-381.000
hem edge,77.4713,282.209,52.473,-381.000
hem edge,77.3854,282.066,52.814,-381.000
hem edge,77.2996,281.922,53.154,-381.000
hem edge,77.2137,281.777,53.494,-381.000
hem edge,77.1279,281.632,53.834,-381.000
hem edge,77.0421,281.485,54.173,-381.000
hem edge,76.9562,281.338,54.512,-381.000
hem edge,76.8704,281.190,54.851,-381.000
hem edge,76.7845,281.041,55.188,-381.000
hem edge,76.6987,280.891,55.526,-381.000
hem edge,76.6129,280.741,55.863,-381.000
hem edge,76.5270,280.589,56.201,-381.000
hem edge,76.4412,280.437,56.537,-381.000
hem edge,76.3553,280.284,56.873,-381.000
hem edge,76.2695,280.130,57.209,-381.000
hem edge,76.1837,279.975,57.545,-381.000
hem edge,76.0978,279.820,57.880,-381.000
hem edge,76.0120,279.664,58.215,-381.000
hem edge,75.9261,279.507,58.549,-381.000
hem edge,75.8403,279.349,58.883,-381.000
hem edge,75.7544,279.190,59.217,-381.000
hem edge,75.6686,279.030,59.550,-381.000
hem edge,75.5828,278.870,59.883,-381.000
hem edge,75.4969,278.709,60.215,-381.000
hem edge,75.4111,278.547,60.547,-381.000
hem edge,75.3252,278.384,60.879,-381.000
hem edge,75.2394,278.221,61.210,-381.000
hem edge,75.1536,278.057,61.541,-381.000
hem edge,75.0677,277.891,61.872,-381.000
hem edge,74.9819,277.725,62.202,-381.000
hem edge,74.8960,277.559,62.532,-381.000
hem edge,74.8102,277.392,62.861,-381.000
hem edge,74.7244,277.223,63.190,-381.000
hem edge,74.6385,277.054,63.519,-381.000
hem edge,74.5527,276.884,63.847,-381.000
hem edge,74.4668,276.714,64.174,-381.000
hem edge,74.3810,276.543,64.501,-381.000
hem edge,74.2952,276.371,64.829,-381.000
hem edge,74.2093,276.198,65.155,-381.000
hem edge,74.1235,276.024,65.481,-381.000
hem edge,74.0376,275.850,65.807,-381.000
hem edge,73.9518,275.675,66.132,-381.000
hem edge,73.8660,275.499,66.457,-381.000
hem edge,73.7801,275.322,66.782,-381.000
hem edge,73.6943,275.145,67.106,-381.000
hem edge,73.6084,274.967,67.429,-381.000
hem edge,73.5226,274.788,67.753,-381.000
hem edge,73.4367,274.608,68.076,-381.000
hem edge,73.3509,274.428,68.398,-381.000
hem edge,73.2651,274.247,68.720,-381.000
hem edge,73.1792,274.065,69.042,-381.000
hem edge,73.0934,273.882,69.363,-381.000
hem edge,73.0075,273.699,69.684,-381.000
hem edge,72.9217,273.515,70.004,-381.000
hem edge,72.8359,273.331,70.324,-381.000
hem edge,72.7500,273.145,70.644,-381.000
hem edge,72.6642,272.959,70.963,-381.000
hem edge,72.5783,272.772,71.281,-381.000
hem edge,72.4925,272.584,71.599,-381.000
hem edge,72.4067,272.396,71.918,-381.000
hem edge,72.3208,272.207,72.235,-381.000
hem edge,72.2350,272.017,72.552,-381.000
hem edge,72.1491,271.827,72.868,-381.000
hem edge,72.0633,271.636,73.185,-381.000
hem edge,71.9775,271.444,73.500,-381.000
hem edge,71.8916,271.251,73.815,-381.000
hem edge,71.8058,271.058,74.130,-381.000
hem edge,71.7199,270.864,74.445,-381.000
hem edge,71.6341,270.669,74.759,-381.000
hem edge,71.5483,270.474,75.072,-381.000
hem edge,71.4624,270.278,75.385,-381.000
hem edge,71.3766,270.081,75.698,-381.000
hem edge,71.2907,269.884,76.011,-381.000
hem edge,71.2049,269.686,76.322,-381.000
hem edge,71.1190,269.487,76.634,-381.000
hem edge,71.0332,269.287,76.945,-381.000
hem edge,70.9474,269.087,77.255,-381.000
hem edge,70.8615,268.886,77.566,-381.000
hem edge,70.7757,268.685,77.875,-381.000
hem edge,70.6898,268.483,78.184,-381.000
hem edge,70.6040,268.280,78.493,-381.000
hem edge,70.5182,268.076,78.802,-381.000
hem edge,70.4323,267.872,79.109,-381.000
hem edge,70.3465,267.668,79.417,-381.000
hem edge,70.2606,267.462,79.724,-381.000
hem edge,70.1748,267.256,80.031,-381.000
hem edge,70.0890,267.049,80.337,-381.000
hem edge,70.0031,266.842,80.642,-381.000
hem edge,69.9173,266.634,80.948,-381.000
hem edge,69.8314,266.425,81.253,-381.000
hem edge,69.7456,266.215,81.557,-381.000
hem edge,69.6598,266.006,81.861,-381.000
hem edge,69.5739,265.795,82.164,-381.000
hem edge,69.4881,265.584,82.468,-381.000
hem edge,69.4022,265.372,82.770,-381.000
hem edge,69.3164,265.159,83.072,-381.000
hem edge,69.2306,264.946,83.374,-381.000
hem edge,69.1447,264.732,83.675,-381.000
hem edge,69.0589,264.518,83.976,-381.000
hem edge,68.9730,264.303,84.277,-381.000
hem edge,68.8872,264.087,84.577,-381.000
hem edge,68.8013,263.871,84.876,-381.000
hem edge,68.7155,263.654,85.175,-381.000
hem edge,68.6297,263.436,85.474,-381.000
hem edge,68.5438,263.218,85.772,-381.000
hem edge,68.4580,263.000,86.070,-381.000
hem edge,68.3721,262.780,86.367,-381.000
hem edge,68.2863,262.560,86.664,-381.000
hem edge,68.2005,262.339,86.960,-381.000
hem edge,68.1146,262.118,87.256,-381.000
hem edge,68.0288,261.897,87.551,-381.000
hem edge,67.9429,261.674,87.847,-381.000
hem edge,67.8571,261.451,88.141,-381.000
hem edge,67.7713,261.228,88.435,-381.000
hem edge,67.6854,261.004,88.729,-381.000
hem edge,67.5996,260.779,89.022,-381.000
hem edge,67.5137,260.553,89.315,-381.000
hem edge,67.4279,260.327,89.607,-381.000
hem edge,67.3421,260.101,89.899,-381.000
hem edge,67.2562,259.874,90.191,-381.000
hem edge,67.1704,259.646,90.482,-381.000
hem edge,67.0845,259.418,90.772,-381.000
hem edge,66.9987,259.189,91.062,-381.000
hem edge,66.9129,258.960,91.352,-381.000
hem edge,66.8270,258.730,91.641,-381.000
hem edge,66.7412,258.499,91.930,-381.000
hem edge,66.6553,258.268,92.218,-381.000
hem edge,66.5695,258.036,92.505,-381.000
hem edge,66.4836,257.804,92.793,-381.000
hem edge,66.3978,257.571,93.080,-381.000
hem edge,66.3120,257.338,93.366,-381.000
hem edge,66.2261,257.104,93.652,-381.000
hem edge,66.1403,256.870,93.938,-381.000
hem edge,66.0544,256.634,94.223,-381.000
hem edge,65.9686,256.399,94.508,-381.000
hem edge,65.8828,256.163,94.791,-381.000
hem edge,65.7969,255.926,95.075,-381.000
hem edge,65.7111,255.689,95.358,-381.000
hem edge,65.6252,255.451,95.642,-381.000
hem edge,65.5394,255.213,95.924,-381.000
hem edge,65.4536,254.974,96.205,-381.000
hem edge,65.3677,254.735,96.487,-381.000
hem edge,65.2819,254.495,96.768,-381.000
hem edge,65.1960,254.254,97.048,-381.000
hem edge,65.1102,254.013,97.328,-381.000
hem edge,65.0244,253.772,97.608,-381.000
hem edge,64.9385,253.530,97.887,-381.000
hem edge,64.8527,253.287,98.166,-381.000
hem edge,64.7668,253.044,98.444,-381.000
hem edge,64.6810,252.801,98.722,-381.000
hem edge,64.5952,252.557,98.999,-381.000
hem edge,64.5093,252.312,99.276,-381.000
hem edge,64.4235,252.067,99.552,-381.000
hem edge,64.3376,251.821,99.828,-381.000
hem edge,64.2518,251.575,100.104,-381.000
hem edge,64.1659,251.328,100.379,-381.000
hem edge,64.0801,251.081,100.653,-381.000
hem edge,63.9943,250.833,100.927,-381.000
hem edge,63.9084,250.585,101.201,-381.000
hem edge,63.8226,250.336,101.474,-381.000
hem edge,63.7367,250.087,101.747,-381.000
hem edge,63.6509,249.837,102.019,-381.000
hem edge,63.5651,249.587,102.291,-381.000
hem edge,63.4792,249.337,102.562,-381.000
hem edge,63.3934,249.085,102.834,-381.000
hem edge,63.3075,248.834,103.104,-381.000
hem edge,63.2217,248.582,103.374,-381.000
hem edge,63.1359,248.329,103.643,-381.000
hem edge,63.0500,248.076,103.913,-381.000
hem edge,62.9642,247.822,104.181,-381.000
hem edge,62.8783,247.568,104.449,-381.000
hem edge,62.7925,247.313,104.717,-381.000
hem edge,62.7067,247.058,104.984,-381.000
hem edge,62.6208,246.802,105.251,-381.000
hem edge,62.5350,246.547,105.517,-381.000
hem edge,62.4491,246.290,105.783,-381.000
hem edge,62.3633,246.033,106.049,-381.000
hem edge,62.2775,245.775,106.314,-381.000
hem edge,62.1916,245.518,106.578,-381.000
hem edge,62.1058,245.259,106.842,-381.000
hem edge,62.0199,245.001,107.106,-381.000
hem edge,61.9341,244.741,107.369,-381.000
hem edge,61.8482,244.481,107.632,-381.000
hem edge,61.7624,244.221,107.894,-381.000
hem edge,61.6766,243.961,108.156,-381.000
hem edge,61.5907,243.699,108.417,-381.000
hem edge,61.5049,243.437,108.678,-381.000
hem edge,61.4190,243.176,108.938,-381.000
hem edge,61.3332,242.913,109.198,-381.000
hem edge,61.2474,242.650,109.458,-381.000
hem edge,61.1615,242.387,109.717,-381.000
hem edge,61.0757,242.123,109.976,-381.000
hem edge,60.9898,241.859,110.234,-381.000
hem edge,60.9040,241.594,110.491,-381.000
hem edge,60.8182,241.329,110.749,-381.000
hem edge,60.7323,241.063,111.006,-381.000
hem edge,60.6465,240.797,111.262,-381.000
hem edge,60.5606,240.531,111.518,-381.000
hem edge,60.4748,240.264,111.773,-381.000
hem edge,60.3890,239.996,112.028,-381.000
hem edge,60.3031,239.729,112.283,-381.000
hem edge,60.2173,239.460,112.537,-381.000
hem edge,60.1314,239.192,112.790,-381.000
hem edge,60.0456,238.923,113.044,-381.000
hem edge,59.9598,238.653,113.296,-381.000
hem edge,59.8739,238.383,113.549,-381.000
hem edge,59.7881,238.113,113.800,-381.000
hem edge,59.7022,237.842,114.052,-381.000
hem edge,59.6164,237.571,114.303,-381.000
hem edge,59.5305,237.299,114.553,-381.000
hem edge,59.4447,237.027,114.803,-381.000
hem edge,59.3589,236.755,115.053,-381.000
hem edge,59.2730,236.482,115.302,-381.000
hem edge,59.1872,236.209,115.551,-381.000
hem edge,59.1013,235.935,115.799,-381.000
hem edge,59.0155,235.661,116.046,-381.000
hem edge,58.9297,235.387,116.294,-381.000
hem edge,58.8438,235.112,116.541,-381.000
hem edge,58.7580,234.837,116.787,-381.000
hem edge,58.6721,234.561,117.033,-381.000
hem edge,58.5863,234.285,117.278,-381.000
hem edge,58.5005,234.008,117.524,-381.000
hem edge,58.4146,233.731,117.768,-381.000
hem edge,58.3288,233.454,118.012,-381.000
hem edge,58.2429,233.177,118.256,-381.000
hem edge,58.1571,232.898,118.499,-381.000
hem edge,58.0713,232.620,118.742,-381.000
hem edge,57.9854,232.341,118.984,-381.000
hem edge,57.8996,232.062,119.226,-381.000
hem edge,57.8137,231.782,119.468,-381.000
hem edge,57.7279,231.502,119.709,-381.000
hem edge,57.6421,231.222,119.950,-381.000
hem edge,57.5562,230.941,120.190,-381.000
hem edge,57.4704,230.660,120.429,-381.000
hem edge,57.3845,230.378,120.669,-381.000
hem edge,57.2987,230.097,120.908,-381.000
hem edge,57.2128,229.814,121.146,-381.000
hem edge,57.1270,229.532,121.384,-381.000
hem edge,57.0412,229.249,121.621,-381.000
hem edge,56.9553,228.965,121.858,-381.000
hem edge,56.8695,228.682,122.095,-381.000
hem edge,56.7836,228.398,122.331,-381.000
hem edge,56.6978,228.113,122.567,-381.000
hem edge,56.6120,227.828,122.802,-381.000
hem edge,56.5261,227.543,123.037,-381.000
hem edge,56.4403,227.257,123.271,-381.000
hem edge,56.3544,226.971,123.505,-381.000
hem edge,56.2686,226.685,123.739,-381.000
hem edge,56.1828,226.398,123.972,-381.000
hem edge,56.0969,226.111,124.204,-381.000
hem edge,56.0111,225.824,124.436,-381.000
hem edge,55.9252,225.536,124.668,-381.000
hem edge,55.8394,225.248,124.899,-381.000
hem edge,55.7536,224.960,125.130,-381.000
hem edge,55.6677,224.671,125.361,-381.000
hem edge,55.5819,224.382,125.591,-381.000
hem edge,55.4960,224.092,125.820,-381.000
hem edge,55.4102,223.802,126.049,-381.000
hem edge,55.3244,223.512,126.278,-381.000
hem edge,55.2385,223.221,126.506,-381.000
hem edge,55.1527,222.930,126.734,-381.000
hem edge,55.0668,222.639,126.961,-381.000
hem edge,54.9810,222.348,127.188,-381.000
hem edge,54.8951,222.056,127.414,-381.000
hem edge,54.8093,221.763,127.641,-381.000
hem edge,54.7235,221.471,127.866,-381.000
hem edge,54.6376,221.178,128.091,-381.000
hem edge,54.5518,220.885,128.316,-381.000
hem edge,54.4659,220.591,128.540,-381.000
